status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
254532428039456_897544737071552,"আপনার লিভিং রুমের কোথায় লুকিয়ে থাকতে পারে সবচেয়ে বেশি জীবাণু? কমেন্ট করুন আর জানিয়ে দিন এখনই! 
#Savlon",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/897544607071565/?type=3,2017-10-25 09:00:00,43,1,1,42,0,1,0,0,0,0
254532428039456_897544470404912,"গরম গরম সিঙ্গারা টপাটপ সাবাড় করে দেয়ার আগে, হাত কে Savlon Hand Sanitizer দিয়ে জার্ম-ফ্রি করে নিতে ভুলবেন না!",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/897543810404978/?type=3,2017-10-23 01:00:00,38,0,9,38,0,0,0,0,0,0
254532428039456_897543537071672,"আপনার ব্যবহার করা কোন ডিভাইসটিতে লুকিয়ে থাকতে পারে সবচেয়ে বেশি জীবাণু? কমেন্ট করুন আর জানিয়ে দিন এখনই!  
#Savlon",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/897543217071704/?type=3,2017-10-22 09:00:00,40,2,2,39,1,0,0,0,0,0
254532428039456_897542793738413,"লোভনীয় বার্গারে আচ্ছা করে দাঁত বসানোর আগে হাত কে Savlon Hand Sanitizer দিয়ে জার্ম-ফ্রি করে নিতে ভুলবেন না! 
#SavlonHandSanitizer",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/897541977071828/?type=3,2017-10-21 09:00:00,38,0,3,35,3,0,0,0,0,0
254532428039456_897541133738579,"নিয়ম মেনে হাতে হাতে 
হাত ধুই মায়ের সাথে!
#SavlonOurHour",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/897540857071940/?type=3,2017-10-20 00:00:00,43,0,1,40,2,1,0,0,0,0
254532428039456_895276047298421,,Savlon Bangladesh's cover photo,photo,https://www.facebook.com/savlonbangladesh/photos/a.297719327054099.1073741826.254532428039456/895275943965098/?type=3,2017-10-15 01:44:00,24,0,0,24,0,0,0,0,0,0
254532428039456_893780500781309,জীবাণুমুক্ত হাতে জয় হোক তোমার! #futureinmyhand,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/893780230781336/?type=3,2017-10-14 23:00:00,46,0,3,46,0,0,0,0,0,0
254532428039456_893823757443650,বাড়ির পাশাপাশি হাত ধোয়ার অভ্যাস গড়তে হবে স্কুল থেকেও। তাহলেই সম্ভব জয় করা ভবিষ্যত।,,video,https://www.facebook.com/savlonbangladesh/videos/893823757443650/,2017-10-12 12:19:29,29938,190,1513,28454,937,384,134,18,11,0
254532428039456_893780840781275,জীবাণুমুক্ত হাতে জয় হোক ভবিষ্যত সৈনিকের। #futureinmyhand,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/893780680781291/?type=3,2017-10-12 09:43:39,48,0,3,47,0,1,0,0,0,0
254532428039456_893164560842903,,Savlon Bangladesh's cover photo,photo,https://www.facebook.com/savlonbangladesh/photos/a.297719327054099.1073741826.254532428039456/893164520842907/?type=3,2017-10-11 04:26:04,37,0,0,36,1,0,0,0,0,0
254532428039456_892218057604220,জীবাণুমুক্ত হাতে জয় হোক ভবিষ্যত দেশসেবকের। #futureinmyhand,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/892216740937685/?type=3,2017-10-09 09:21:13,36,0,5,36,0,0,0,0,0,0
254532428039456_890915154401177,জীবাণুমুক্ত হাতে জয় হোক ভবিষ্যত Filmmaker-এর!,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/890912851068074/?type=3,2017-10-07 06:00:00,51,1,5,50,0,0,1,0,0,0
254532428039456_890116614481031,জীবাণুমুক্ত হাতে জয় হোক ভবিষ্যৎ Graduate-এর! #futureinmyhands,,photo,https://www.facebook.com/savlonbangladesh/photos/a.359237817568916.1073741836.254532428039456/890116591147700/?type=3,2017-10-05 11:20:55,52,0,14,50,1,1,0,0,0,0
254532428039456_888628281296531,"বারান্দা কিংবা বাগানে,
একটুখানি সবুজে 
বেড়ে উঠুক আপনার সন্তান। #SavlonOurHour #DearestMoments",,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/888627674629925/?type=3,2017-10-02 09:02:38,42,0,0,39,2,1,0,0,0,0
254532428039456_867120096780683,সবাইকে স্যাভলন ক্লিন ঈদ মোবারক।,,video,https://www.facebook.com/savlonbangladesh/videos/867120096780683/,2017-08-31 05:00:00,43,1,2,43,0,0,0,0,0,0
254532428039456_867102920115734,এই কোরবানির ঈদে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/867102643449095/?type=3,2017-08-30 08:00:00,72,1,8,70,2,0,0,0,0,0
254532428039456_867105636782129,এই কোরবানির ঈদে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/867103486782344/?type=3,2017-08-29 08:00:00,57,0,12,57,0,0,0,0,0,0
254532428039456_867101313449228,এই কোরবানির ঈদে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/867100933449266/?type=3,2017-08-28 08:00:00,68,0,15,67,0,1,0,0,0,0
254532428039456_867100036782689,এই কোরবানির ঈদে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/867099623449397/?type=3,2017-08-27 08:00:00,63,0,5,63,0,0,0,0,0,0
254532428039456_867099250116101,এই কোরবানির ঈদে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/867097716782921/?type=3,2017-08-26 05:00:00,48,0,8,48,0,0,0,0,0,0
254532428039456_867080170118009,এই কুরবানির ঈদ হবে ক্লিন।,,video,https://www.facebook.com/savlonbangladesh/videos/867080170118009/,2017-08-25 08:58:46,1151,4,195,1107,32,5,7,0,0,0
254532428039456_866617783497581,ত্যাগের মহিমায় উজ্জ্বল কোরবানির ঈদ। তাই আসুন এবারের ঈদে  সবাই একসাথে কোরবানি করি অপরিচ্ছন্ন অভ্যাসগুলোকেও।,,photo,https://www.facebook.com/savlonbangladesh/photos/a.316262288533136.1073741833.254532428039456/866614876831205/?type=3,2017-08-24 10:59:22,4244,11,28,4215,18,3,7,0,1,0
